pmid,year,title,first_last_authors,journal,species,cell_line,n_cells_per_aggregate,chir_uM,chir_onset_h,chir_offset_h,base_media,harvest_timepoints_h,imaging_modalities,fluorescent_reporters,morphology_quantified,morphology_metric,morphology_n,morphology_timepoint_h,elongation_pct,shape_distribution_figure,variability_addressed,key_perturbation,key_finding,full_text_source,pmcid,extraction_reviewed
40834858,2025,Enhancer remodeling by OTX2 directs specification and patterning of mammalian definitive endoderm.,Ly-Sha … Matthias,Developmental cell,both,"mESC unspecified, hESC unspecified",not reported,3,5-6,not reported,"N2B27, CDM",not reported,"widefield-fluorescence, confocal","SOX17, FOXA2, SOX2, CXCR4, PDGFRA, OTX2-EGFP, HA",N,not reported,not reported,not reported,not reported,N,N,OTX2 degradation via dTAG system during DE specification,OTX2 is required for definitive endoderm specification and anterior gut tube patterning through enhancer remodeling and transcriptional regulation of cell adhesion and signaling genes.,PMC,12489875.0,False
40692086,2025,Detection of developmental toxicity of the anti-COVID-19 drug molnupiravir using gastruloid-based in vitro assays.,Carrell … Yusuke,Toxicological sciences : an official journal of the Society of Toxicology,both,"P19C5, hESC unspecified",not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,Y,"morphological progression, aggregate size",not reported,not reported,not reported,unclear,N,NHC (molnupiravir metabolite) dose titration,Gastruloid-based assays reliably detect developmental toxicity of NHC at clinically relevant concentrations comparable to human plasma levels following molnupiravir administration.,abstract only,,False
40138371,2025,Stem cell culture conditions affect in vitro differentiation potential and mouse gastruloid formation.,Marloes … Peter,PloS one,mouse,"E14-TR, E14-IB10, 129S1/SvImJ/C57BL/6","300, 600",3,48-72,not reported,N2B27,"120, 144","brightfield, confocal","TBXT-GFP, SOX2-mCherry, TBXT antibody, SOX2 antibody",Y,"aspect ratio, major axis length, minor axis length",not reported,"120, 144",not reported,Y,Y,mESC pre-culture conditions (2i pulse timing and duration),Modulating mESC pluripotency state through different pre-culture media combinations affects gastruloid elongation efficiency and reproducibility in a cell line-dependent manner.,PMC,11940422.0,False
40472086,2025,Gastruloids enable modeling of the earliest stages of human cardiac and hepatic vascularization.,J … C,"Science (New York, N.Y.)",human,"H9, H9-TNNT2-GFP, RUES-GLR, 113 hiPSC",not reported,4,not reported,not reported,not reported,144,"brightfield, confocal, light-sheet","NKX2-5-eGFP, TNNT2-GFP, BRA, SOX17, SOX2, CDH5-mOrange, TAGLN-CFP",N,not reported,not reported,not reported,not reported,N,Y,"GSK3β inhibitor (CHIR-99021) dose titration, NOTCH inhibition (DAPT), BMP inhibition (dorsomorphin)","Micropatterned hPSCs produce spatially organized cardiac vascularized organoids with branched, lumenized vascular networks integrated with endocardial, myocardial, epicardial, and neuronal cells, resembling a 6.5-postconception week human embryonic heart.",PMC,12815606.0,False
41013592,2025,Culture of pluripotent stem cells in microscale droplets modulates differentiation and tissue patterning towards organoids on chip.,Nadia … Sébastien,Stem cell research & therapy,mammalian,"ES-D3, ES-R1",300,3,not reported,not reported,"GMEM, N2B27","24, 96","brightfield, widefield-fluorescence","Rex1::GFP, Sox1eGFP–TmCherry",Y,diameter,not reported,96,not reported,N,Y,droplet volume optimization and confined microenvironment culture,Culturing pluripotent stem cells in 7 µl microscale droplets regulates cell fate decisions and promotes tissue patterning in gastruloids and cardioids through altered molecular diffusion dynamics and morphogen signaling.,PMC,12465241.0,False
40412479,2025,A modular organization of mammalian gastrulation and the Spemann-Mangold organizer.,Martinez … Ulla-Maj,Cells & development,mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,Gastruloids reveal that the vertebrate body plan is organized into three independent developmental modules corresponding to organizer regions in embryos.,abstract only,,False
40475526,2025,Lineage recording in monoclonal gastruloids reveals heritable modes of early development.,G … Jay,bioRxiv : the preprint server for biology,mouse,E14TG2a,not reported,3,24,24,N2B27,"120, 144",brightfield,GFP,N,not reported,not reported,not reported,not reported,N,Y,monoclonal vs polyclonal gastruloid generation; lineage tracing with DNA Typewriter,"Heterogeneity in gastruloids arises from pre-existing, heritable fluctuations in founder mESC states rather than being solely stochastically induced by Wnt agonist exposure.",PMC,12139830.0,False
41040184,2025,Dual-patterned pluripotent stem cells self-organize into a human embryo model with extended anterior-posterior patterning.,Zukai … Nobuhiko,bioRxiv : the preprint server for biology,human,"RUES2-GLR, iPS11-mScarlet, iPS11-eGFP",2000,3.5,48,72,Essential 6,not reported,"brightfield, widefield-fluorescence, live-imaging","SOX2-mCitrine, TBXT-mCerulean, SOX17-tdTomato, iPS11-mScarlet, iPS11-eGFP",N,not reported,not reported,not reported,not reported,N,Y,dual anterior-posterior patterning through assembly of FGF2-treated anteriorized and CHIR/RA-treated posteriorized hPSC aggregates,"Human AP gastruloids generated from dual-patterned hPSC populations self-organize into continuous elongated structures with extended anterior-posterior axis patterning including anterior neural and head structures, achieved with over 90% efficiency without requiring specialized equipment.",PMC,12485718.0,False
40667326,2025,YAP1 and QSER1 are Key Modulators of Embryonic Signaling Pathways in the Mammalian Epiblast.,Elizabeth … Conchi,bioRxiv : the preprint server for biology,both,H1,not reported,not reported,not reported,not reported,mTESR1,not reported,not reported,mCitrine::Nodal,N,not reported,not reported,not reported,not reported,N,N,YAP1 conditional knockout in epiblast,YAP1 acts as a gatekeeper of epiblast differentiation by suppressing NODAL and WNT signaling to prevent premature primitive streak formation and ectopic mesendoderm induction.,PMC,12262321.0,False
40335707,2025,Extended culture of 2D gastruloids to model human mesoderm development.,Bohan … Idse,Nature methods,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,Y,none / descriptive study,Extended culture of 2D gastruloids to 10 days reveals a phase of highly reproducible morphogenesis between 2-4 days during which directed migration from the primitive streak-like region generates multiple types of spatially organized mesoderm.,abstract only,,False
40667243,2025,R-loops shape chromatin architecture to promote balanced lineage allocation during differentiation.,Chun-Hao … G,bioRxiv : the preprint server for biology,mouse,RHKI,300,3,48,not reported,NDiff 277,"0, 3, 5",not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,Rnaseh1 induction via doxycycline for R-loop depletion,"R-loops are required to maintain H2A.Z deposition at promoters of developmental genes and are essential for balanced lineage allocation during gastruloid differentiation, though dispensable for mESC self-renewal.",PMC,12262388.0,False
40371902,2025,In preprints: exploring developmental robustness and timing with gastruloids.,Yonit … V,"Development (Cambridge, England)",unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,unclear,not reported,not reported,abstract only,,False
41277515,2025,"The people behind the papers - Tina Balayo, André Dias and David Turner.",,"Development (Cambridge, England)",mouse,not reported,not reported,not reported,not reported,not reported,N2B27,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,unclear,HM-N2B27 vs NDiff227 formulation comparison,"Gastruloids are cultured in N2B27 basal medium which can be either home-made or commercially sourced, and differences between formulations in gastruloid development are being investigated.",abstract only,,False
40932369,2025,Dissecting infant leukemia developmental origins with a hemogenic gastruloid model.,Denise … Cristina,eLife,mouse,"Kdr(Flk1)-GFP, Sox17-GFP, T/Bra::GFP, E14Tg2a",not reported,not reported,48,not reported,N2B27,"72, 96, 120, 144, 168, 216","brightfield, widefield-fluorescence, confocal","Kdr(Flk1)-GFP, Sox17-GFP, T/Bra::GFP, Rosa26-BFP, CD144, C-Kit, CD41, CD45",Y,polarization,not reported,96,not reported,N,Y,MNX1 oncogene enforced expression to model infant AML with t(7;12) translocation,"Hemogenic gastruloids recapitulate yolk sac-like and aorta-gonadal-mesonephros-like waves of blood progenitor specification, and identify the endothelial-to-hematopoietic transition as the transformation target of MNX1 in infant acute myeloid leukemia.",PMC,12425479.0,False
40672161,2025,Derivation of cardiomyocyte-propelled motile aggregates from stem cells.,Christine … Leonardo,bioRxiv : the preprint server for biology,mouse,"T-Brachyury eGFP mESC, NKX2-5 emGFP mESC, T-Brachyury_Sox17 Strawberry mESC",300,3,48,72,N2B27,"168, 240","brightfield, widefield-fluorescence, live-imaging","Fluo-4, cTnT, NKX2-5 emGFP, T-Brachyury eGFP, T-Brachyury_Sox17 Strawberry",Y,"track length, contraction area, tissue displacement per contraction","33, 22","168, 240",not reported,Y,Y,cardiogenic factor optimization (Activin/BMP4/VEGF for mesoderm induction; FGF2/10/VEGF for cardiogenesis); synthetic organizer localization of contractile areas,Mouse embryonic stem cells can be driven via a continuous developmental trajectory to form cardiobots—aggregates with high contractility that support contraction-propelled motility—with optimized protocols achieving contraction area coverage of up to 100% by day 10.,PMC,12265712.0,False
40583223,2025,Gastrula-Premarked Posterior Enhancer Primes Posterior Tissue Development Through Cross-Talk with TGF-β Signaling Pathway.,Yingying … Xianfa,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,p-Enh genetic knockout (p-Enh-KO),"A gastrula pre-marked enhancer (p-Enh) regulates posterior tissue development through dual mechanisms: in cis regulation of Cdx2 and in trans modulation of TGF-β signaling via enhancer RNA, with p-Enh-KO leading to embryonic lethality and severe posterior tissue growth failure.",PMC,12463030.0,False
40502440,2025,Development of large-scale gastruloid array to identify aberrant developmental phenotypes.,Ian … L,APL bioengineering,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,"brightfield, widefield-fluorescence, confocal",not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"A novel automated microraft array technology was developed for image-based screening and sorting of single gastruloids with heterogeneous patterning behavior, enabling detection of unique phenotypes in euploid and aneuploid gastruloids.",PMC,12158465.0,False
40284499,2025,The Modulation of Cell Plasticity by Budesonide: Beyond the Metabolic and Anti-Inflammatory Actions of Glucocorticoids.,Jorge … Gabriella,Pharmaceutics,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,budesonide (BUD) treatment,"Budesonide stabilizes cell-cell adhesions, preventing embryonic stem cell differentiation and inhibiting the development of 3D gastruloids through epigenetic changes and transcriptome modifications.",abstract only,12030213.0,False
39026750,2025,Endogenous FGFs drive ERK-dependent cell fate patterning in 2D human gastruloids.,Kyoung … Idse,bioRxiv : the preprint server for biology,both,"ESI017, PGP1",not reported,3-5,24,24-30,"mTeSR1, Essential 6 Medium","24, 42","confocal, live-imaging","pERK, TBXT, SOX2, OCT3/4, NANOG, BrdU, cleaved Cas3",N,not reported,not reported,not reported,not reported,N,N,"FGF/ERK signaling inhibition and activation; FGF4, FGF8, FGF17 knockdown","Endogenous FGFs drive ERK-dependent primitive streak-like cell differentiation in 2D human gastruloids, with FGF4 and FGF17 expressed in the PS-like ring and ERK activity restricted spatially by basolateral FGF receptor localization.",PMC,11257619.0,False
40791385,2025,Gastruloid patterning reflects division of labor among biased stem cell clones.,Vinay … Arjun,bioRxiv : the preprint server for biology,unspecified,E14-tg2a,300,3,48,72,N2B27,120,"brightfield, widefield-fluorescence","mKate2, mOrange2, eGFP",Y,elongated vs multiaxial vs no axis classification,8-32 per batch,120,75,Y,Y,single-cell cloning and chimeric aggregate mixing to test effects of ESC population heterogeneity,"Heterogeneity among mES cell clones actively supports reproducible gastruloid self-organization, with individual clones exhibiting consistent spatial propensities that divide labor for proper axial elongation and tissue organization.",PMC,12338665.0,False
41427418,2025,Optogenetic Rescue Reveals Spatiotemporal Rules of Germ-Layer Patterning.,Naomi … Z,bioRxiv : the preprint server for biology,human,H9,1500 cells/mm²,not reported,not reported,not reported,mTeSR Plus,48,"widefield-fluorescence, live-imaging","tdmRuby3-β-catenin, BRA, SOX2, GATA3",N,not reported,not reported,not reported,not reported,N,N,Optogenetic WNT activation with variable temporal onset and duration; BMP4 and IWP2 co-treatment,"Temporal dynamics of WNT signaling, not just its presence or concentration, are critical for proper germ layer patterning in human 2D gastruloids, with both onset timing and duration determining mesoderm differentiation and spatial organization.",PMC,12713756.0,False
41005443,2025,"Embryotoxicity analysis of anti-arrhythmia drugs amiodarone, dronedarone, and their metabolites using 3D gastruloid models.",Kehaulani … Yusuke,"Reproductive toxicology (Elmsford, N.Y.)",both,"P19C5 (mouse), H9 (human)","200 (mouse: 10 cells/μL × 20 μL), 1000 (human: 20 cells/μL × 50 μL)",10,0,continuous,"MEM-α with 10% serum (mouse), 80% MEM-α + 20% 5X mTeSR1 supplement (human)","96 (mouse), 120 (human)",brightfield,none,Y,"elongation distortion index (EDI), aspect ratio, area",not reported,"96 (mouse), 120 (human)",not reported,Y,N,"amiodarone, dronedarone, and metabolite exposure dose titration","Amiodarone and dronedarone cause dose-dependent reduction in gastruloid growth and elongation, with LOAELs comparable to clinically relevant plasma concentrations, demonstrating gastruloid utility in detecting embryotoxicity and potential species differences in developmental sensitivity.",PMC,12662635.0,False
41256695,2025,Cooperative short- and long-range interactions enable robust symmetry breaking and axis formation.,Guoye … Sahand,bioRxiv : the preprint server for biology,mammalian,"RUES2, H9",400,not reported,0,not reported,not reported,72,"confocal, brightfield, live-imaging","SOX17-tdTomato, BRA/TBXT-mCerulean, SOX2-mCitrine, SOX17mCHERRY, RUNX1CGFP",Y,elongation,not reported,72,not reported,unclear,Y,none / descriptive study,"Self-organized symmetry breaking robustly emerges in human gastruloids cultured in suspension with CHIR99021 stimulation, showing reproducible elongation and segregation of progenitor populations into distinct domains by 72 hours.",PMC,12621816.0,False
40011454,2025,ETVs dictate hPSC differentiation by tuning biophysical properties.,M … Malgorzata,Nature communications,human,HUES8,not reported,not reported,not reported,not reported,StemFlex,not reported,"brightfield, widefield-fluorescence, confocal","SOX2, BRA, ISL1, OCT3/4, NANOG, KLF4, ETV1, ETV4, ETV5",N,not reported,not reported,not reported,not reported,N,Y,"CRISPR/Cas9 knockout of ETV1, ETV4, and ETV5 genes",ETVs dictate hPSC differentiation and germ layer organization in gastruloids by tuning cell adhesion strength through regulation of cell-cell contact genes and the PI3K/AKT signaling pathway.,PMC,11865489.0,False
41174250,2025,Non-cell-autonomous control of mouse gastruloid development by the ultra-conserved lncRNA T-UCstem1.,Arianna … Annalisa,The EMBO journal,mouse,TBV2 129/SvP,150,3,48,72,DMEM/FBS/LIF,"48, 96, 120","brightfield, confocal","Oct4, Nanog, Sox2, Brachyury, Cdx2, Sox17, E-Cadherin",Y,"elongation index, length, width",20,120,90,Y,Y,T-UCstem1 knockdown (KD-1 and KD-2 clones),"T-UCstem1 is essential for proper gastruloid elongation; its silencing prevents elongation and increases morphological variability while maintaining pluripotency, an effect rescuable by increasing CHIR concentration, suggesting T-UCstem1 controls gastruloid development non-cell-autonomously through modulation of the WNT inhibitor DKK-1.",PMC,12706062.0,False
41020401,2025,"The people behind the papers - Judith Pineau, Jerome Wong-Ng and Thomas Gregor.",,"Development (Cambridge, England)",mammalian,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,not reported,mechanical constraint variation,Mechanical constraint has a strong influence on transcriptional patterning and morphogenesis in gastruloids.,abstract only,,False
40101716,2025,Identifying cross-lineage dependencies of cell-type-specific regulators in mouse gastruloids.,Luca … Elzo,Developmental cell,mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,CDX2 knockout and MSGN1 ablation with chimeric analysis,"CDX2 and MSGN1 are critical regulators of spinal cord and mesoderm development in mouse gastruloids, with inter-tissue communication between MSGN1-expressing and wild-type cells necessary for spinal cord formation.",abstract only,,False
40510116,2025,Advances in engineered models of peri-gastrulation.,Diandian … Quinton,iScience,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"3D gastruloid models recapitulate spatial organization and developmental processes of early embryos through orchestration of signaling pathways like WNT, BMP, and NODAL, providing insights into symmetry breaking, cell polarization, and germ layer formation in human development.",PMC,12159512.0,False
41020403,2025,Fine-tuning mechanical constraints reveals uncoupled patterning and gene expression programs in murine gastruloids.,Judith … Thomas,"Development (Cambridge, England)",mouse,129/svev,300,3,48,72,N2B27,120,"brightfield, widefield-fluorescence, live-imaging","TProm-mVenus, H2B:iRFP",Y,"medial axis length, elongation index, straightness ratio",189,120,not reported,Y,Y,"hydrogel stiffness titration (0.7-1.5 mM concentrations; 1-300 Pa), embedding timing variation","Gastruloids embedded in ultra-soft hydrogels (<1.0 mM) elongate robustly while maintaining AP axis patterning and transcriptional profiles, revealing decoupling of transcriptional programs from mechanical constraints and polarization.",PMC,12516319.0,False
41287934,2025,N2B27 media formulations influence gastruloid development.,Tina … A,"Development (Cambridge, England)",mouse,E14Tg2A,300,3,48,72,N2B27,120,"brightfield, widefield-fluorescence",not reported,Y,"elongation index, length, area",303,120,90,Y,Y,N2B27 media formulation comparison (HM-N2B27 vs NDiff227),"Variations in N2B27 media formulations significantly influence gastruloid morphometrics, developmental timing, gene expression, and cell fate specification.",PMC,12687332.0,False
40848835,2025,Morphogenetic constraints in the development of gastruloids: Implications for mouse gastrulation.,Ulla-Maj … Alfonso,Cells & development,mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,N,gastruloid size variation,"Gastruloid size affects the dynamics and precision of anterior-posterior axial elongation, with axial elongation requiring active cellular contractility, planar cell polarity, and adhesion, while smaller gastruloids initiate elongation earlier correlated with earlier Brachyury polarisation.",abstract only,,False
41071232,2025,Optimization of Gastruloid Pre-culture Conditions for Reproducible Germ Layer Composition.,Marloes … Peter,"Methods in molecular biology (Clifton, N.J.)",mouse,129S1/SvImJ/ C57BL/6,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,Y,mESC pre-culture condition optimization,A detailed pre-culture protocol optimized for gastruloid generation from mESCs provides a workflow for selecting optimal conditions and evaluating gastruloid formation outcome to facilitate reproducible generation from any cell line.,abstract only,,False
40766620,2025,Single-cell spatial mapping reveals reproducible cell type organization and spatially-dependent gene expression in gastruloids.,G … Arjun,bioRxiv : the preprint server for biology,unspecified,E14TG2a,100-300,3,48,72,N2B27,120,seqFISH,DAPI,Y,"elongation, length, width",not reported,120,80-94,Y,Y,none / descriptive study,"Single-cell spatial mapping reveals consistent cell type organization and spatial gene expression patterns across gastruloids, with reproducible positioning of neuromesodermal precursors, mesoderm, and neural tissues despite substantial variation in morphological dimensions.",PMC,12324194.0,False
40952017,2025,In preprints: gastruloids get (a)head.,A … Luca,"Development (Cambridge, England)",unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,abstract only,,False
40138398,2025,The emergence of human primordial germ cell-like cells in stem cell-derived gastruloids.,Jitesh … Azim,Science advances,human,"W15-NANOS3-tdTomato, WIS2, RUES2",400,0.25,0,continuous,Essential 6,"48, 72, 96, 192","brightfield, confocal, widefield-fluorescence","SOX2-mCitrine, TBXT-mCerulean, SOX17-tdTomato, W15-NANOS3-tdTomato",Y,"elongation, longitudinal axis extension",1620,48,90,Y,Y,"CHIR99021 dose titration (0.00, 0.25, 0.5, 1.0 μM); ISL1 mutation with BMP rescue","Human ESCs self-organize into gastruloids that form all three germ layers and contain emerging human primordial germ cell-like cells, with axial mesoderm-derived BMP signaling required for PGCLC specification.",PMC,11939039.0,False
40315829,2025,Signaling switches: Metabolism regulates gastruloid self-organization.,J … F,Cell stem cell,mouse,mESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,not reported,metabolic modulation (glycolysis vs oxidative phosphorylation balance),"Metabolic activity, specifically the balance between glycolysis and oxidative phosphorylation, regulates cell fate decisions during gastruloid self-organization from mouse embryonic stem cells.",abstract only,,False
40770543,2025,Establishment of human gastrulating stem cells with the capacity of stable differentiation into multiple gastrulating cell types.,Mingqian … Jiahao,Cell research,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,not reported,N,valproic acid (VPA) exposure,Human gastrulating stem cells self-assemble into gastruloid-like structures modeling Carnegie Stage 7 human embryo gastrulation and can be used to study developmental defects and drug teratogenicity.,abstract only,,False
40973928,2025,An Optimized Protocol for the Extended Culture of Gastruloids from Mouse Embryonic Stem Cells.,Marloes … Peter,"Methods in molecular biology (Clifton, N.J.)",mouse,not reported,not reported,not reported,not reported,not reported,not reported,"96, 168",not reported,not reported,unclear,not reported,not reported,not reported,not reported,not reported,Y,Matrigel embedding at 96 h for extended culture,An optimized protocol enables reproducible generation of gastruloids with derivatives of all three germ layers and extends culture to 168 h post-aggregation.,abstract only,,False
40193493,2025,Exploring and validating the marmoset as a primate model for chromosomal instability in early development.,Andrew … Min,Molecular human reproduction,human,cjPSC (marmoset naïve-like pluripotent stem cells),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Marmoset pluripotent stem cells exhibit chromosomal instability and recapitulate key phenotypic traits of early embryonic cells, providing a model system for studying aneuploidy during early primate development.",abstract only,13032081.0,False
41241940,2025,Cadherins modulate the self-organizing potential of pseudo-embryos.,Alexandre … Denis,Cell reports,mammalian,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,N,"cadherin manipulation (E-cadherin repression, N-cadherin inactivation)","Cadherin switching, specifically E-cadherin repression by Snai1 and N-cadherin inactivation, is critical for gastruloid self-organization and morphogenetic competence to form embryo-like structures with proper rostro-caudal somite patterning.",abstract only,,False
40316255,2025,Towards an integrated view and understanding of embryonic signalling during murine gastrulation.,R … L,Cells & development,mouse,mESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"A review discussing similarities and differences between gastruloids and real embryos from a signaling perspective, with focus on gene regulatory networks underlying signaling pathway interactions during gastrulation.",abstract only,,False
39652462,2024,Complex aneuploidy triggers autophagy and p53-mediated apoptosis and impairs the second lineage segregation in human preimplantation embryos.,Marius … Claudia,eLife,both,not reported,not reported,not reported,not reported,not reported,Origio Sequential Blast medium,not reported,widefield-fluorescence,"HSP70, SQSTM1/p62, LC3B, OCT3/4, phosphor-p53 S15, GATA4, DRAM, phospho-histone H2A.X Ser139, NANOG, CaspGLOW Fluorescein Active Caspase-8, CellEvent Caspase-3/7 Green",N,not reported,not reported,not reported,not reported,N,N,Reversine-induced complex aneuploidy; comparison of euploid versus aneuploid human preimplantation embryos,"Complex aneuploidy in human preimplantation embryos triggers autophagy and p53-mediated apoptosis independent of DNA damage, with effects dependent on the number of imbalanced genes, and impairs the second lineage segregation through reduced cell numbers in the trophectoderm and defective primordial endoderm formation.",PMC,11627504.0,False
37284941,2024,Embryonic Spinal Cord Innervation in Human Trunk Organogenesis Gastruloids: Cardiac Versus Enteric Customization and Beyond.,T … L,"Methods in molecular biology (Clifton, N.J.)",human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,not reported,N,trunk-biased gastruloid protocols with cardiac versus enteric customization,"Trunk-biased human gastruloids enable self-organized spinal neurogenesis coupled with organogenesis, permitting customizable neural patterning for cardiac or enteric nervous system formation in a multi-lineage, embryo-like context.",abstract only,,False
